"ID","Title","Automation Type","Created By","Created On","Estimate","Expected Result","Forecast","Goals","Mission","Preconditions","Priority","References","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Expected Result)","Steps (Step)","Suite","Suite ID","Template","Type","Updated By","Updated On"
"C2819","Выбор папки для копирования через окно ""Обзор папок"""," None","IT Academy","8/6/2022 9:33 AM","","","","","","1.Создать папки на:
-рабочий стол
-usb носитель
-ftp
-облако Windows
1.Открыть программу hardload.exe","High","","Функциональные проверки hardload.exe","1","","Микеладзе > Функциональные проверки hardload.exe","1. Нажать на ""..."" в правом углу экрана

Expected Result:
Открывается окно ""Обзор папок""
2. Выбрать созданную папку на рабочем столе
Expected Result:
Окно ""Обзор папок"" закрывается
Путь до папки записался в поле ввода ""Куда""
3. Выбрать созданную папку на usb носителе
Expected Result:
Окно ""Обзор папок"" закрывается
Путь до папки записался в поле ввода ""Куда""
4. Выбрать созданную папку на ftp
Expected Result:
Окно ""Обзор папок"" закрывается
Путь до папки записался в поле ввода ""Куда""
5. Выбрать созданную папку на облаке WIndows
Expected Result:
Окно ""Обзор папок"" закрывается
Путь до папки записался в поле ввода ""Куда""","","1. Открывается окно ""Обзор папок""
2. Окно ""Обзор папок"" закрывается
Путь до папки записался в поле ввода ""Куда""
3. Окно ""Обзор папок"" закрывается
Путь до папки записался в поле ввода ""Куда""
4. Окно ""Обзор папок"" закрывается
Путь до папки записался в поле ввода ""Куда""
5. Окно ""Обзор папок"" закрывается
Путь до папки записался в поле ввода ""Куда""","1. Нажать на ""..."" в правом углу экрана

2. Выбрать созданную папку на рабочем столе
3. Выбрать созданную папку на usb носителе
4. Выбрать созданную папку на ftp
5. Выбрать созданную папку на облаке WIndows","Master","S25","Test Case (Steps)","Other","bastidigger@yandex.ru","8/7/2022 1:10 PM"
"C2820","Копирование файлов в папку, выбранную через диалог Обзор папок"," None","IT Academy","8/6/2022 9:33 AM","","","","","","1.Создать файлы в папке на рабочем столе:
-названия от 0 до 255 символов
-форматов txt, exe, bin, mp3, jpg
2.Создать файлы на USB носителе:
-названия от 0 до 255 символов
-форматов txt, exe, bin, mp3, jpg
3.Создать файлы на FTP:
-названия от 0 до 255 символов
-форматов txt, exe, bin, mp3, jpg
4.Создать файлы на облаке Windows:
-названия от 0 до 255 символов
-форматов txt, exe, bin, mp3, jpg
5.Создать папки:
-на рабочем столе Windows c названием ""Конечный путь""
-на usb носителе с названием ""Конечный путь""
-на FTP c названием ""Конечный путь""
-на облаке Windows с названием ""Конечный путь""
6.Открыть программу hardload.exe
7.Добавить в список файлов созданные выше файлы
","High","","Функциональные проверки hardload.exe","1","","Микеладзе > Функциональные проверки hardload.exe","1. 1.Отметить все файлы  
2.Кликнуть на ""..."" в правом нижнем углу окна
3.Выбрать папку ""Конечный путь"" на рабочем столе Windows
4.Нажать на кнопку ""Старт""
Expected Result:
1.Отключаются кнопки ""..."", ""Х"", ""Старт""
2.Меняется цвет окна на серый
3.Кнопка ""Стоп"" становится синего цвета
4.При завершении копирования - элементы интерфейса становятся прежними
5.Снимается галочка с выбранного файла
2. 1.Перейти в папку ""Конечный путь"" на рабочем столе Windows
2.Проверить наличие скопированного файла
Expected Result:
Файл успешно скопирован в папку ""Конечный путь"" на рабочем столе Windows
3. 1.Отметить все файлы  
2.Кликнуть на ""..."" в правом нижнем углу окна
3.Выбрать папку ""Конечный путь"" на USB носителе
4.Нажать на кнопку ""Старт""
Expected Result:
1.Отключаются кнопки ""..."", ""Х"", ""Старт""
2.Меняется цвет окна на серый
3.Кнопка ""Стоп"" становится синего цвета
4.При завершении копирования - элементы интерфейса становятся прежними
5.Снимается галочка с выбранного файла
4. 1.Перейти в  папку ""Конечный путь"" на USB носителе
2.Проверить наличие скопированного файла
Expected Result:
Файл успешно скопирован в папку ""Конечный путь"" на USB носитель
5. 1.Отметить все файлы  
2.Кликнуть на ""..."" в правом нижнем углу окна
3.Выбрать папку ""Конечный путь"" на FTP
4.Нажать на кнопку ""Старт""
Expected Result:
1.Отключаются кнопки ""..."", ""Х"", ""Старт""
2.Меняется цвет окна на серый
3.Кнопка ""Стоп"" становится синего цвета
4.При завершении копирования - элементы интерфейса становятся прежними
5.Снимается галочка с выбранного файла
6. 1.Перейти в  папку ""Конечный путь"" на FTP
2.Проверить наличие скопированного файла
Expected Result:
Файл успешно скопирован в папку ""Конечный путь"" на FTP
7. 1.Отметить все файлы  
2.Кликнуть на ""..."" в правом нижнем углу окна
3.Выбрать папку ""Конечный путь"" на облаке Windows
4.Нажать на кнопку ""Старт""
Expected Result:
1.Отключаются кнопки ""..."", ""Х"", ""Старт""
2.Меняется цвет окна на серый
3.Кнопка ""Стоп"" становится синего цвета
4.При завершении копирования - элементы интерфейса становятся прежними
5.Снимается галочка с выбранного файла
8. 1.Перейти в  папку ""Конечный путь"" на облаке Windows
2.Проверить наличие скопированного файла
Expected Result:
Файл успешно скопирован в папку ""Конечный путь"" на облако Windows","","1. 1.Отключаются кнопки ""..."", ""Х"", ""Старт""
2.Меняется цвет окна на серый
3.Кнопка ""Стоп"" становится синего цвета
4.При завершении копирования - элементы интерфейса становятся прежними
5.Снимается галочка с выбранного файла
2. Файл успешно скопирован в папку ""Конечный путь"" на рабочем столе Windows
3. 1.Отключаются кнопки ""..."", ""Х"", ""Старт""
2.Меняется цвет окна на серый
3.Кнопка ""Стоп"" становится синего цвета
4.При завершении копирования - элементы интерфейса становятся прежними
5.Снимается галочка с выбранного файла
4. Файл успешно скопирован в папку ""Конечный путь"" на USB носитель
5. 1.Отключаются кнопки ""..."", ""Х"", ""Старт""
2.Меняется цвет окна на серый
3.Кнопка ""Стоп"" становится синего цвета
4.При завершении копирования - элементы интерфейса становятся прежними
5.Снимается галочка с выбранного файла
6. Файл успешно скопирован в папку ""Конечный путь"" на FTP
7. 1.Отключаются кнопки ""..."", ""Х"", ""Старт""
2.Меняется цвет окна на серый
3.Кнопка ""Стоп"" становится синего цвета
4.При завершении копирования - элементы интерфейса становятся прежними
5.Снимается галочка с выбранного файла
8. Файл успешно скопирован в папку ""Конечный путь"" на облако Windows","1. 1.Отметить все файлы  
2.Кликнуть на ""..."" в правом нижнем углу окна
3.Выбрать папку ""Конечный путь"" на рабочем столе Windows
4.Нажать на кнопку ""Старт""
2. 1.Перейти в папку ""Конечный путь"" на рабочем столе Windows
2.Проверить наличие скопированного файла
3. 1.Отметить все файлы  
2.Кликнуть на ""..."" в правом нижнем углу окна
3.Выбрать папку ""Конечный путь"" на USB носителе
4.Нажать на кнопку ""Старт""
4. 1.Перейти в  папку ""Конечный путь"" на USB носителе
2.Проверить наличие скопированного файла
5. 1.Отметить все файлы  
2.Кликнуть на ""..."" в правом нижнем углу окна
3.Выбрать папку ""Конечный путь"" на FTP
4.Нажать на кнопку ""Старт""
6. 1.Перейти в  папку ""Конечный путь"" на FTP
2.Проверить наличие скопированного файла
7. 1.Отметить все файлы  
2.Кликнуть на ""..."" в правом нижнем углу окна
3.Выбрать папку ""Конечный путь"" на облаке Windows
4.Нажать на кнопку ""Старт""
8. 1.Перейти в  папку ""Конечный путь"" на облаке Windows
2.Проверить наличие скопированного файла","Master","S25","Test Case (Steps)","Other","bastidigger@yandex.ru","8/7/2022 2:26 PM"
"C2822","Копирование файлов в папку, введя вручную путь до папки"," None","IT Academy","8/6/2022 9:33 AM","","","","","","1.Создать файлы в папке на рабочем столе:
-названия от 0 до 255 символов
-форматов txt, exe, bin, mp3, jpg
2.Создать файлы на USB носителе:
-названия от 0 до 255 символов
-форматов txt, exe, bin, mp3, jpg
3.Создать файлы на FTP:
-названия от 0 до 255 символов
-форматов txt, exe, bin, mp3, jpg
4.Создать файлы на облаке Windows:
-названия от 0 до 255 символов
-форматов txt, exe, bin, mp3, jpg
5.Создать папки:
-на рабочем столе Windows c названием ""Конечный путь""
-на usb носителе с названием ""Конечный путь""
-на FTP c названием ""Конечный путь""
-на облаке Windows с названием ""Конечный путь""
3.Записать пути для созданных папок
4.Открыть программу hardload.exe
5.Добавить в список файлов созданные выше файлы

","High","","Функциональные проверки hardload.exe","1","","Микеладзе > Функциональные проверки hardload.exe","1. 1.Отметить все файлы
2.Ввести вручную путь до папки записанный в предусловии для папки рабочего стола  Windows
3.Нажать на кнопку ""Старт""
Expected Result:
1.Отключаются кнопки ""..."", ""Х"", ""Старт""
2.Меняется цвет окна на серый
3.Кнопка ""Стоп"" становится синего цвета
4.При завершении копирования - элементы интерфейса становятся прежними
5.Снимается галочка с выбранного файла
2. 1.Перейти в папку ""Конечный путь"" на рабочем столе Windows
2.Проверить наличие скопированного файла
Expected Result:
Файл успешно скопирован в папку ""Конечный путь"" на рабочем столе Windows
3. 1.Отметить все файлы
2.Ввести вручную путь до папки записанный в предусловии для папки  на USB носителе
3.Нажать на кнопку ""Старт""
Expected Result:
.Отключаются кнопки ""..."", ""Х"", ""Старт""
2.Меняется цвет окна на серый
3.Кнопка ""Стоп"" становится синего цвета
4.При завершении копирования - элементы интерфейса становятся прежними
5.Снимается галочка с выбранного файла
4. 1.Перейти в папку ""Конечный путь"" на USB носителе
2.Проверить наличие скопированного файла
Expected Result:
Файл успешно скопирован в папку ""Конечный путь"" на USB носитель
5. 1.Отметить все файлы
2.Ввести вручную путь до папки записанный в предусловии для папки  на на FTP
3.Нажать на кнопку ""Старт""
Expected Result:
1.Отключаются кнопки ""..."", ""Х"", ""Старт""
2.Меняется цвет окна на серый
3.Кнопка ""Стоп"" становится синего цвета
4.При завершении копирования - элементы интерфейса становятся прежними
5.Снимается галочка с выбранного файла
6. 1.Перейти в папку ""Конечный путь"" на FTP
2.Проверить наличие скопированного файла
Expected Result:
Файл успешно скопирован в папку ""Конечный путь"" на FTP
7. 1.Отметить все файлы
2.Ввести вручную путь до папки записанный в предусловии для папки  на  облаке Windows
3.Нажать на кнопку ""Старт""
Expected Result:
1.Отключаются кнопки ""..."", ""Х"", ""Старт""
2.Меняется цвет окна на серый
3.Кнопка ""Стоп"" становится синего цвета
4.При завершении копирования - элементы интерфейса становятся прежними
5.Снимается галочка с выбранного файла
8. 1.Перейти в папку ""Конечный путь"" на облаке Windows
2.Проверить наличие скопированного файла
Expected Result:
Файл успешно скопирован в папку ""Конечный путь"" на облако Windows","","1. 1.Отключаются кнопки ""..."", ""Х"", ""Старт""
2.Меняется цвет окна на серый
3.Кнопка ""Стоп"" становится синего цвета
4.При завершении копирования - элементы интерфейса становятся прежними
5.Снимается галочка с выбранного файла
2. Файл успешно скопирован в папку ""Конечный путь"" на рабочем столе Windows
3. .Отключаются кнопки ""..."", ""Х"", ""Старт""
2.Меняется цвет окна на серый
3.Кнопка ""Стоп"" становится синего цвета
4.При завершении копирования - элементы интерфейса становятся прежними
5.Снимается галочка с выбранного файла
4. Файл успешно скопирован в папку ""Конечный путь"" на USB носитель
5. 1.Отключаются кнопки ""..."", ""Х"", ""Старт""
2.Меняется цвет окна на серый
3.Кнопка ""Стоп"" становится синего цвета
4.При завершении копирования - элементы интерфейса становятся прежними
5.Снимается галочка с выбранного файла
6. Файл успешно скопирован в папку ""Конечный путь"" на FTP
7. 1.Отключаются кнопки ""..."", ""Х"", ""Старт""
2.Меняется цвет окна на серый
3.Кнопка ""Стоп"" становится синего цвета
4.При завершении копирования - элементы интерфейса становятся прежними
5.Снимается галочка с выбранного файла
8. Файл успешно скопирован в папку ""Конечный путь"" на облако Windows","1. 1.Отметить все файлы
2.Ввести вручную путь до папки записанный в предусловии для папки рабочего стола  Windows
3.Нажать на кнопку ""Старт""
2. 1.Перейти в папку ""Конечный путь"" на рабочем столе Windows
2.Проверить наличие скопированного файла
3. 1.Отметить все файлы
2.Ввести вручную путь до папки записанный в предусловии для папки  на USB носителе
3.Нажать на кнопку ""Старт""
4. 1.Перейти в папку ""Конечный путь"" на USB носителе
2.Проверить наличие скопированного файла
5. 1.Отметить все файлы
2.Ввести вручную путь до папки записанный в предусловии для папки  на на FTP
3.Нажать на кнопку ""Старт""
6. 1.Перейти в папку ""Конечный путь"" на FTP
2.Проверить наличие скопированного файла
7. 1.Отметить все файлы
2.Ввести вручную путь до папки записанный в предусловии для папки  на  облаке Windows
3.Нажать на кнопку ""Старт""
8. 1.Перейти в папку ""Конечный путь"" на облаке Windows
2.Проверить наличие скопированного файла","Master","S25","Test Case (Steps)","Other","bastidigger@yandex.ru","8/7/2022 1:57 PM"
"C2823","Остановка загрузки"," None","IT Academy","8/6/2022 9:33 AM","","","","","","1.Открыть программу hardload.exe
2.Нажать на кнопку ""..."" в левом верхнем углу
3.Выбрать любой файл
","High","","Функциональные проверки hardload.exe","1","","Микеладзе > Функциональные проверки hardload.exe","1. 1.Отметить галочкой файл
2.Выбрать папку для копирования - Рабочий стол
3.Нажать на ""Старт
4.Сразу нажать на кнопку ""Стоп""
Expected Result:
При нажатии на кнопку ""Старт"":
1.Отключаются кнопки ""..."", ""Х"", ""Старт""
2.Меняется цвет окна на серый
3.Кнопка ""Стоп"" становится синего цвета
При нажатии на кнопку ""Стоп"":
1.Кнопки обратно включаются, отключается кнопка ""стоп""
2.Меняется цвет окна на белый
2. 1.Перейти на Рабочий стол
Expected Result:
Файл отсутствует, не был скопирован","","1. При нажатии на кнопку ""Старт"":
1.Отключаются кнопки ""..."", ""Х"", ""Старт""
2.Меняется цвет окна на серый
3.Кнопка ""Стоп"" становится синего цвета
При нажатии на кнопку ""Стоп"":
1.Кнопки обратно включаются, отключается кнопка ""стоп""
2.Меняется цвет окна на белый
2. Файл отсутствует, не был скопирован","1. 1.Отметить галочкой файл
2.Выбрать папку для копирования - Рабочий стол
3.Нажать на ""Старт
4.Сразу нажать на кнопку ""Стоп""
2. 1.Перейти на Рабочий стол","Master","S25","Test Case (Steps)","Other","bastidigger@yandex.ru","8/7/2022 3:06 PM"
"C2821","Копирование файлов не выбирая папку"," None","IT Academy","8/6/2022 9:33 AM","","","","","","1.Открыть программу hardload.exe
2.Нажать на кнопку ""..."" в левом верхнем углу
3.Выбрать любой файл

","High","","Функциональные проверки hardload.exe","1","","Микеладзе > Функциональные проверки hardload.exe","1. 1.Отметить выбранный файл
Expected Result:
Галочка устанавливается в квадрат на строке файла
2. 1.Не выбирая папку для копирования, нажать на ""Старт""
Expected Result:
Всплывает предупреждение:
""Не выбрана папка для отправки файла""
ОК

Копирование не происходит, интерфейс не изменяется
Галочка не снимается","","1. Галочка устанавливается в квадрат на строке файла
2. Всплывает предупреждение:
""Не выбрана папка для отправки файла""
ОК

Копирование не происходит, интерфейс не изменяется
Галочка не снимается","1. 1.Отметить выбранный файл
2. 1.Не выбирая папку для копирования, нажать на ""Старт""","Master","S25","Test Case (Steps)","Other","IT Academy","8/6/2022 9:33 AM"
"C2818","Удаление не выбирая файл"," None","IT Academy","8/6/2022 9:33 AM","","","","","","1.Открыть программу hardload.exe
2.Нажать на кнопку ""..."" в левом верхнем углу
3.Выбрать любой файл","Medium","","Функциональные проверки hardload.exe","1","","Микеладзе > Функциональные проверки hardload.exe","1. Нажать на кнопку ""Х"" не выбирая файлы
Expected Result:
Ничего не происходит","","1. Ничего не происходит","1. Нажать на кнопку ""Х"" не выбирая файлы","Master","S25","Test Case (Steps)","Other","bastidigger@yandex.ru","8/7/2022 3:06 PM"
"C2824","Копирование файлов не отмечая файлы"," None","IT Academy","8/6/2022 9:33 AM","","","","","","1.Открыть программу hardload.exe
2.Нажать на кнопку ""..."" в левом верхнем углу
3.Выбрать любой файл
4.Добавить несколько файлов таким же способом","Medium","","Функциональные проверки hardload.exe","1","","Микеладзе > Функциональные проверки hardload.exe","1. 1.Выбрать папку для копирования - Рабочий стол
2.Не отмечая файлы нажать на ""Старт""
Expected Result:
Всплывает окно предупреждения:
""Не выбраны файлы для копирования""
ОК","","1. Всплывает окно предупреждения:
""Не выбраны файлы для копирования""
ОК","1. 1.Выбрать папку для копирования - Рабочий стол
2.Не отмечая файлы нажать на ""Старт""","Master","S25","Test Case (Steps)","Other","IT Academy","8/6/2022 9:33 AM"
"C2810","Выравнивание элементов по базовым линиям"," None","IT Academy","8/6/2022 9:33 AM","","","","","","Открыть программу hardload.exe","Medium","","Проверка интерфейса hardload.exe","1","","Микеладзе > Проверка интерфейса hardload.exe","1. Посмотреть на элементы программы
Expected Result:
Все элементы программы выравнены по базовым вертикальным и горизонтальным линиям
2. Измерить расстояние между верхними кнопками программы
Expected Result:
Расстояние между кнопками одинаковое","","1. Все элементы программы выравнены по базовым вертикальным и горизонтальным линиям
2. Расстояние между кнопками одинаковое","1. Посмотреть на элементы программы
2. Измерить расстояние между верхними кнопками программы","Master","S25","Test Case (Steps)","Other","bastidigger@yandex.ru","8/7/2022 3:37 PM"
"C2811","Измерение размера кнопок интерфейса"," None","IT Academy","8/6/2022 9:33 AM","","","","","","Открыть программу hardload.exe","Medium","","Проверка интерфейса hardload.exe","1","","Микеладзе > Проверка интерфейса hardload.exe","1. Измерить размеры всех кнопок интерфейса
Expected Result:
Все кнопки интерфейса имеют одинаковый размер","","1. Все кнопки интерфейса имеют одинаковый размер","1. Измерить размеры всех кнопок интерфейса","Master","S25","Test Case (Steps)","Other","IT Academy","8/6/2022 9:33 AM"
"C2813","Правильность написания текста и грамматические ошибки"," None","IT Academy","8/6/2022 9:33 AM","","","","","","Открыть программу hardload.exe","Medium","","Проверка интерфейса hardload.exe","1","","Микеладзе > Проверка интерфейса hardload.exe","1. 1.Навести курсор на кнопку ""...""
2.Посмотреть на текст в поле описания кнопки
Expected Result:
Отображается текст: ""Найти и добавить файл в список""
Отсутствуют грамматические ошибки

2. 1.Навести курсор на кнопку ""х""
2.Посмотреть на текст в поле описания кнопки
Expected Result:
Отображается текст: ""Удалить выделенные файлы из списка""
Отсутствуют грамматические ошибки
3. 1.Навести курсор на кнопку ""Старт""
2.Посмотреть на текст в поле описания кнопки
Expected Result:
Отображается текст : ""Начать копирование""
Отсутствуют грамматические ошибки

4. 1.Навести курсор на кнопку ""Стоп""
2.Посмотреть на текст в поле описания кнопки
Expected Result:
Описание кнопки отсутствует

5. 1.Навести курсор на кнопку ""..."" в правом нижнем углу
2.Посмотреть на текст в поле описания кнопки
Expected Result:
Отображается текст: ""Выбрать папку, куда скопировать файлы""
отсутствуют грамматические ошибки

6. 1.Нажать на кнопку ""..."" в правом нижнем углу

Expected Result:
Открывается окно ""Обзор папок""
Отображается текст : ""Куда скопировать файлы""
 
7. Посмотреть на описание поля ввода в левом нижнем углу
Expected Result:
Отображается текст ""Куда""
8. Посмотреть на кнопку в самом верху списка файлов
Expected Result:
Отображается текст ""Файлы""
9. 1.Нажать на кнопку ""Старт""
2.Быстро навести курсор на кнопку ""Стоп""
Expected Result:
1.Кнопка стоп становится синей 
2.Отображается текст в поле описания кнопки :""Остановить копирование""","","1. Отображается текст: ""Найти и добавить файл в список""
Отсутствуют грамматические ошибки

2. Отображается текст: ""Удалить выделенные файлы из списка""
Отсутствуют грамматические ошибки
3. Отображается текст : ""Начать копирование""
Отсутствуют грамматические ошибки

4. Описание кнопки отсутствует

5. Отображается текст: ""Выбрать папку, куда скопировать файлы""
отсутствуют грамматические ошибки

6. Открывается окно ""Обзор папок""
Отображается текст : ""Куда скопировать файлы""
 
7. Отображается текст ""Куда""
8. Отображается текст ""Файлы""
9. 1.Кнопка стоп становится синей 
2.Отображается текст в поле описания кнопки :""Остановить копирование""","1. 1.Навести курсор на кнопку ""...""
2.Посмотреть на текст в поле описания кнопки
2. 1.Навести курсор на кнопку ""х""
2.Посмотреть на текст в поле описания кнопки
3. 1.Навести курсор на кнопку ""Старт""
2.Посмотреть на текст в поле описания кнопки
4. 1.Навести курсор на кнопку ""Стоп""
2.Посмотреть на текст в поле описания кнопки
5. 1.Навести курсор на кнопку ""..."" в правом нижнем углу
2.Посмотреть на текст в поле описания кнопки
6. 1.Нажать на кнопку ""..."" в правом нижнем углу

7. Посмотреть на описание поля ввода в левом нижнем углу
8. Посмотреть на кнопку в самом верху списка файлов
9. 1.Нажать на кнопку ""Старт""
2.Быстро навести курсор на кнопку ""Стоп""","Master","S25","Test Case (Steps)","Other","bastidigger@yandex.ru","8/7/2022 5:17 PM"
"C2814","Отображение названия программы"," None","IT Academy","8/6/2022 9:33 AM","","","","","","Открыть программу hardload.exe","Medium","","Проверка интерфейса hardload.exe","1","","Микеладзе > Проверка интерфейса hardload.exe","1. Посмотреть на название программы в шапке программы 
Expected Result:
Программа называется ""hardload.exe""","","1. Программа называется ""hardload.exe""","1. Посмотреть на название программы в шапке программы","Master","S25","Test Case (Steps)","Other","IT Academy","8/6/2022 9:33 AM"
"C2825","Появление вертикального скрола"," None","IT Academy","8/6/2022 9:33 AM","","","","","","1.Открыть программу hardload.exe","Medium","","Проверка интерфейса hardload.exe","1","","Микеладзе > Проверка интерфейса hardload.exe","1. 1.Нажать на кнопку ""..."" в левом верхнем углу
2.Выбрать любой файл из любой папки Windows
3.Нажать кнопку открыть
Expected Result:
1.Окно диалога выбора файла закрывается
2.Файл добавился в список файлов
3.В строке списка файлов отображается название файла
2. Добавить еще пять файлов следуя шагу 1 
Expected Result:
Вертикальный скрол не появляется
3. Добавить еще один файл в список
Expected Result:
Появляется вертикальный скрол
Работает исправно","","1. 1.Окно диалога выбора файла закрывается
2.Файл добавился в список файлов
3.В строке списка файлов отображается название файла
2. Вертикальный скрол не появляется
3. Появляется вертикальный скрол
Работает исправно","1. 1.Нажать на кнопку ""..."" в левом верхнем углу
2.Выбрать любой файл из любой папки Windows
3.Нажать кнопку открыть
2. Добавить еще пять файлов следуя шагу 1 
3. Добавить еще один файл в список","Master","S25","Test Case (Steps)","Other","IT Academy","8/6/2022 9:33 AM"
"C2817","Удаление 100  файлов из списка"," None","IT Academy","8/6/2022 9:33 AM","","","","","","1.Создать по 5 файлов каждого формата в папке на рабочем столе:
-названия от 0 до 255 символов
-форматов txt, exe, bin, mp3, jpg
2.Создатьпо 5 файлов каждого формата  на USB носителе:
-названия от 0 до 255 символов
-форматов txt, exe, bin, mp3, jpg
3.Создать по 5 файлов каждого формата  на FTP:
-названия от 0 до 255 символов
-форматов txt, exe, bin, mp3, jpg
4.Создать по 5 файлов каждого формата  на облаке Windows:
-названия от 0 до 255 символов
-форматов txt, exe, bin, mp3, jpg
5.Открыть программу hardload.exe
6.Добавить в список все  созданные выше файлы в количестве 100 штук","High","","Нагрузочное тестирование","1","","Микеладзе > Нагрузочное тестирование","1. 1.Отметить все 100 файлов 
2.Нажать на кнопку удалить 
Expected Result:
1.Отмечены все 100 файлов
2.Всплывет окно ""Вопрос"":
Удалить из списка?
Да Нет
2. 1.Нажать ""Да""
Expected Result:
1.Окно вопроса закрывается
2.Файлы успешно удалены из списка
3.Список пуст","","1. 1.Отмечены все 100 файлов
2.Всплывет окно ""Вопрос"":
Удалить из списка?
Да Нет
2. 1.Окно вопроса закрывается
2.Файлы успешно удалены из списка
3.Список пуст","1. 1.Отметить все 100 файлов 
2.Нажать на кнопку удалить 
2. 1.Нажать ""Да""","Master","S25","Test Case (Steps)","Other","bastidigger@yandex.ru","8/7/2022 2:07 PM"
